Marque,CarType,FuelType,Gearbox,ManufacturingDate,Engine_l,Power_kW,Mileage_km,Price_euro
Peugeot 307, hatchback        ,Diesel,Manual,2003,2.0,79,315000,800
Fiat Stilo, hatchback        ,Petrol,Manual,2004,1.2,59,218974,800
Nissan Primera, saloon / sedan        ,Diesel,Manual,2002,2.2,93,200000,800
BMW 525, saloon / sedan        ,Diesel,Manual,1998,2.5,105,488304,800
Toyota Corolla, hatchback        ,Petrol,Manual,1991,1.3,55,130000,800
Opel Agila, mpv / minivan        ,Petrol,Manual,2007,1.2,,,800
Chrysler PT Cruiser, hatchback        ,Diesel,Manual,2003,2.2,89,207301,800
Opel Omega, wagon        ,Diesel,Manual,2001,2.2,88,414043,800
UAZ 452, saloon / sedan        ,Diesel,Manual,1975,2.5,,100000,800
Opel Astra, hatchback        ,Diesel,Manual,2002,2.0,74,323350,800
Opel Astra, wagon        ,Diesel,Manual,2003,1.7,55,,800
Peugeot 607, saloon / sedan        ,Diesel,Automatic,2006,2.7,150,275000,800
Volkswagen Passat, wagon        ,Diesel,Manual,2000,1.9,81,450000,800
Volkswagen Polo, hatchback        ,Petrol,Manual,2007,1.2,,245522,800
Volkswagen Polo, hatchback        ,Diesel,Manual,2004,1.9,,,800
Mercedes-Benz A140, saloon / sedan        ,Petrol,Automatic,1998,1.4,60,172025,800
Peugeot 607, saloon / sedan        ,Petrol,Manual,2002,2.2,116,,800
Mitsubishi Space Runner, hatchback        ,Petrol,Manual,2001,2.4,110,169000,800
Audi A6, wagon        ,Diesel,Manual,1997,2.5,85,330000,800
Volkswagen Sharan, mpv / minivan        ,Diesel,Manual,1997,1.9,81,320000,800
Ford Mondeo, saloon / sedan        ,Petrol,Automatic,2002,2.0,107,253000,800
Renault Vel Satis, hatchback        ,Diesel,Manual,2004,2.2,110,305000,800
Peugeot 307, wagon        ,Diesel,Manual,2008,wagon,,,800
Volvo XC70, wagon        ,Petrol / LPG,Manual,1999,2.4,,330000,800
Mercedes-Benz C200, saloon / sedan        ,Diesel,Automatic,2002,2.2,85,,800
Peugeot 807, mpv / minivan        ,Diesel,Manual,2005,2.2,94,350000,800
Audi 100, saloon / sedan        ,Diesel,Manual,1990,2.5,88,,800
Chrysler PT Cruiser, hatchback        ,Diesel,Manual,2004,2.2,89,226000,800
Citroen C5, wagon        ,Diesel,Manual,2003,2.0,80,,800
Volvo V70, wagon        ,Diesel,Manual,1998,2.5,103,295000,800
Opel Astra, coupe        ,Petrol / LPG,Manual,2000,2.2,108,198000,800
Nissan Note, hatchback        ,Petrol,Automatic,2011,1.6,,118000,800
Opel Astra, hatchback        ,Diesel,Automatic,1998,2.0,60,238170,800
Audi A4, wagon        ,Diesel,Manual,1999,1.9,81,,800
Mercedes-Benz C220, saloon / sedan        ,Diesel,Manual,2002,2.2,105,245680,800
Volkswagen Golf, hatchback        ,Petrol,Manual,1990,hatchback,40,,800
Mazda 2, hatchback        ,Petrol,Manual,2004,1.4,,266802,800
Opel Astra, wagon        ,Diesel,Manual,2001,2.0,74,,800
Volkswagen Passat, wagon        ,Diesel,Manual,1998,wagon,81,276000,800
Renault Laguna, wagon        ,Diesel,Manual,2006,1.9,96,230000,800
Opel Astra, saloon / sedan        ,Petrol,Manual,2001,saloon,74,,800
Peugeot 307, hatchback        ,Petrol,Manual,2003,hatchback,,25800,800
Skoda Octavia, wagon        ,Petrol,Manual,2005,1.6,,,800
Mercedes-Benz 190, saloon / sedan        ,Petrol,Manual,1988,saloon,75,,800
Opel Astra, hatchback        ,Diesel,Manual,1998,2.0,60,349998,800
Peugeot 406, saloon / sedan        ,Petrol,Manual,2000,1.8,81,176000,800
Seat Leon, hatchback        ,Diesel,Manual,2004,1.9,81,300000,800
Renault Scenic, mpv / minivan        ,Diesel,Manual,2006,1.5,78,,800
Citroen Berlingo, mpv / minivan        ,Diesel,Manual,2002,2.0,66,,800
Mercedes-Benz C180, saloon / sedan        ,Petrol,Manual,1993,1.8,90,245000,800
Ford Transit, mpv / minivan        ,Diesel,Manual,1993,2.5,,,800
Audi A3, hatchback        ,Diesel,Manual,1997,1.9,66,,800
Renault Espace, mpv / minivan        ,Diesel,Manual,2003,2.2,110,234000,800
BMW 320, saloon / sedan        ,Diesel,Manual,2001,2.0,110,175000,800
Volkswagen Transporter, commercial        ,Diesel,Manual,2001,2.5,65,240000,800
Opel Astra, saloon / sedan        ,Petrol,Manual,2001,saloon,74,,800
Mercedes-Benz 190, saloon / sedan        ,Petrol,Manual,1988,saloon,75,,800
Opel Astra, hatchback        ,Diesel,Manual,1998,2.0,60,349998,800
Nissan Primera, saloon / sedan        ,Diesel,Manual,2003,2.2,102,300000,800
Seat Leon, hatchback        ,Diesel,Manual,2004,1.9,81,300000,800
Renault Scenic, mpv / minivan        ,Diesel,Manual,2006,1.5,78,,800
Citroen Berlingo, mpv / minivan        ,Diesel,Manual,2002,2.0,66,,800
Mercedes-Benz C180, saloon / sedan        ,Petrol,Manual,1993,1.8,90,245000,800
Ford Transit, mpv / minivan        ,Diesel,Manual,1993,2.5,,,800
Nissan Terrano, suv / off-road        ,Petrol / LPG,Manual,1997,2.4,,230000,800
Audi A6, saloon / sedan        ,Diesel,Manual,1998,1.9,81,310058,800
Hyundai Getz, hatchback        ,Petrol,Manual,2004,1.1,46,240000,800
Renault Scenic, hatchback        ,Diesel,Manual,2002,1.9,75,270000,800
BMW 316, coupe        ,Petrol,Manual,2003,1.8,85,215000,800
Land Rover Freelander, suv / off-road        ,Diesel,Manual,2007,2.0,82,,800
Volkswagen Transporter, mpv / minivan        ,Diesel,Manual,1991,1.9,,,800
Peugeot 206, wagon        ,Diesel,Manual,2004,2.0,66,,800
Volkswagen Golf, hatchback        ,Diesel,Automatic,2001,1.9,85,358125,800
Toyota Yaris, hatchback        ,Petrol,Manual,1999,1.0,50,253500,800
Volkswagen Passat, saloon / sedan        ,Diesel,Manual,2003,1.9,74,,800
Skoda Octavia, hatchback        ,Diesel,Manual,1999,1.9,66,,800
Opel Corsa, hatchback        ,Diesel,Manual,2001,1.7,48,,800
Opel Signum, hatchback        ,Petrol,Manual,2004,2.2,114,297000,800
Volkswagen Golf, hatchback        ,Petrol,Manual,2003,1.4,55,206000,800
Opel Zafira, mpv / minivan        ,Diesel,Manual,2001,2.0,74,332076,800
Mercedes-Benz A200, hatchback        ,Diesel,Manual,2005,2.0,103,280000,800
Audi A6, saloon / sedan        ,Petrol,Manual,1999,2.4,121,278000,800
Volkswagen Passat, saloon / sedan        ,Diesel,Manual,2003,1.9,74,,800
Toyota Yaris, hatchback        ,Petrol,Manual,1999,1.0,50,253500,800
Kia Rio, hatchback        ,Petrol,Manual,2005,1.4,71,243000,800
Mazda 6, saloon / sedan        ,Petrol,Automatic,2005,2.0,104,179500,800
Volkswagen Passat, saloon / sedan        ,Petrol,Manual,2004,2.0,96,,800
Skoda Octavia, hatchback        ,Petrol,Manual,2005,1.6,85,300000,800
Citroen C5, wagon        ,Diesel,Manual,2003,2.0,80,,800
Audi A4, wagon        ,Diesel,Manual,2004,1.9,96,250000,800
Ford Galaxy, mpv / minivan        ,Diesel,Manual,2003,1.9,96,,800
Lada Niva, suv / off-road        ,Petrol,Manual,2002,1.7,,85214,800
Peugeot 207, saloon / sedan        ,Petrol,Manual,2009,1.4,56,,820
Daewoo Kalos, hatchback        ,Petrol,Manual,2004,1.4,61,163000,820
Volkswagen Golf, hatchback        ,Petrol,Manual,2005,1.6,,,830
Opel Astra, wagon        ,Diesel,Manual,2000,2.0,74,228000,830
Mercedes-Benz E220, saloon / sedan        ,Diesel,Manual,1998,2.2,70,254000,830
Volkswagen Passat, wagon        ,Diesel,Manual,2001,1.9,74,358800,840
Skoda Fabia, hatchback        ,Petrol,Manual,2000,1.4,,235000,840
Nissan Note, mpv / minivan        ,Petrol,Manual,2008,mpv,,,847
Volkswagen Passat, wagon        ,Diesel,Manual,1995,1.9,66,264000,849
BMW 316, hatchback        ,Petrol,Manual,1997,1.6,75,92000,849
Renault Laguna, hatchback        ,Diesel,Manual,2003,1.9,,,850
BMW 318, hatchback        ,Petrol,Manual,2004,2.0,105,,850
Ford Granada, saloon / sedan        ,Petrol,Manual,1983,2.0,,,850
Jaguar X-Type, saloon / sedan        ,Petrol,Automatic,2002,2.5,144,283500,850
Citroen Xsara Picasso, mpv / minivan        ,Petrol / LPG,Manual,2002,1.8,85,,850
Audi A3, hatchback        ,Petrol,Manual,2000,1.6,74,,850
Chrysler Sebring, saloon / sedan        ,Petrol,Automatic,2004,2.4,112,126687,850
Peugeot 306, saloon / sedan        ,Diesel,Manual,1998,1.9,66,207360,850
Audi A3, hatchback        ,Petrol,Manual,1998,1.6,,236000,850
Volkswagen Golf, hatchback        ,Diesel,Manual,1999,1.9,66,325936,850
Opel Astra, wagon        ,Petrol,Manual,1998,1.6,55,174000,850
Volkswagen Polo, hatchback        ,Diesel,Manual,2003,1.9,,260000,850
Volvo V40, wagon        ,Diesel,Manual,2003,1.9,85,272000,850
Ford Mondeo, hatchback        ,Diesel,Manual,2001,2.0,,278000,850
Volkswagen Golf, hatchback        ,Diesel,Manual,2001,1.9,85,346000,850
Volkswagen Sharan, hatchback        ,Petrol,Manual,1997,1.6,55,199051,850
Audi A6, wagon        ,Diesel,Manual,2001,2.5,114,300000,850
Citroen C4, hatchback        ,Diesel,Manual,2005,1.6,80,380000,850
Volkswagen Golf, hatchback        ,Petrol / LPG,Automatic,1999,1.6,74,150000,850
Audi A3, hatchback        ,Petrol,Manual,2002,1.6,75,,850
Renault Scenic, mpv / minivan        ,Petrol,Automatic,2004,2.0,99,,850
Skoda Fabia, wagon        ,Diesel,Manual,2005,1.4,55,310000,850
Peugeot 307, hatchback        ,Diesel,Manual,2005,1.6,81,272000,850
Volkswagen Golf, hatchback        ,Petrol,Manual,1999,1.4,,210000,850
Renault Laguna, hatchback        ,Diesel,Manual,2001,1.9,88,309000,850
Ford Mondeo, hatchback        ,Diesel,Manual,2001,2.0,85,282293,850
Volkswagen Touran, mpv / minivan        ,Diesel,Automatic,2005,2.0,103,475853,850
Opel Vectra, saloon / sedan        ,Diesel,Manual,2002,2.2,92,343000,850
Mercedes-Benz E240, wagon        ,Petrol,Automatic,2001,2.4,,,850
Audi A3, hatchback        ,Petrol / LPG,Manual,1998,1.8,,25000,850
Renault Grand Scenic, mpv / minivan        ,Diesel,Manual,2005,1.5,78,317450,850
Honda Civic, hatchback        ,Petrol,Automatic,2003,1.4,66,137000,850
Peugeot 307, wagon        ,Diesel,Manual,2002,2.0,79,299999,850
Renault Grand Scenic, mpv / minivan        ,Diesel,Manual,2005,1.5,78,317450,850
Audi A3, hatchback        ,Petrol,Manual,2000,1.8,92,302600,850
Opel Astra, hatchback        ,Petrol,Manual,1999,1.6,55,240000,850
Lada 21011, saloon / sedan        ,Petrol / LPG,Manual,1984,saloon,44,45000,850
Volkswagen Passat, wagon        ,Diesel,Manual,1997,1.9,81,464588,850
Rover 75, saloon / sedan        ,Diesel,Manual,2000,2.0,85,375311,850
Toyota Avensis Verso, wagon        ,Diesel,Manual,2003,2.0,85,450000,850
Mazda 6, wagon        ,Diesel,Manual,2004,2.0,100,,850
Mercedes-Benz C220, wagon        ,Diesel,Automatic,2002,2.2,105,299000,850
Mitsubishi Lancer, wagon        ,Petrol,Manual,2004,2.0,99,186000,850
Mercedes-Benz C220, coupe        ,Diesel,Manual,2004,coupe,,400000,850
Audi A4, saloon / sedan        ,Petrol,Manual,1996,1.6,74,282000,850
Nissan Primera, wagon        ,Petrol / LPG,Manual,2004,1.8,,212803,850
Mercedes-Benz E320, wagon        ,Petrol,Automatic,1998,wagon,,258148,850
Opel Vectra, wagon        ,Diesel,Manual,2003,2.2,92,350000,850
BMW 525, wagon        ,Diesel,Manual,2003,2.5,120,500000,850
Renault Clio, hatchback        ,Diesel,Manual,2004,1.5,48,143500,850
Opel Astra, wagon        ,Diesel,Manual,2002,1.7,,250000,850
Opel Zafira, mpv / minivan        ,Diesel,Manual,2001,2.0,74,212000,850
Volkswagen Passat, saloon / sedan        ,Petrol,Manual,1998,1.6,75,200000,850
Audi 100, saloon / sedan        ,Petrol,Manual,1987,1.8,66,246000,850
Nissan Almera, hatchback        ,Diesel,Manual,2001,2.2,81,169829,850
Land Rover Range Rover, suv / off-road        ,Diesel,Manual,1995,2.5,100,,850
Opel Astra, wagon        ,Diesel,Manual,2004,2.0,74,276000,850
Audi A3, hatchback        ,Petrol,Manual,1997,1.6,74,197000,850
Nissan Almera Tino, mpv / minivan        ,Diesel,Manual,2003,2.2,100,231067,850
Volkswagen Golf, hatchback        ,Diesel,Manual,1998,1.9,81,419597,850
Volkswagen Passat, wagon        ,Petrol,Manual,1990,1.8,118,283400,850
Honda HR-V, hatchback        ,Petrol,Manual,2002,1.6,77,207857,850
Peugeot 307, hatchback        ,Diesel,Manual,2001,2.0,66,289000,850
Opel Omega, wagon        ,Diesel,Manual,2002,2.2,88,325000,850
Peugeot 407, saloon / sedan        ,Diesel,Manual,2005,2.0,100,220000,850
Mercedes-Benz A170, hatchback        ,Diesel,Automatic,2000,1.7,66,,850
Skoda Superb, saloon / sedan        ,Diesel,Manual,2005,1.9,96,,850
Volkswagen Passat, saloon / sedan        ,Diesel,Manual,2006,2.0,103,300000,850
Skoda Octavia, saloon / sedan        ,Diesel,Manual,1999,1.9,81,281453,850
Daewoo Kalos, hatchback        ,Petrol,Manual,2003,1.2,,113000,850
Toyota Yaris, coupe        ,Petrol,Manual,1999,1.0,50,250000,850
Peugeot 307, hatchback        ,Diesel,Manual,2002,2.0,66,372185,850
Saab 9-3, saloon / sedan        ,Diesel,Manual,2004,saloon,92,370000,850
Peugeot 307, hatchback        ,Petrol / LPG,Manual,2003,1.6,80,234000,850
Opel Meriva, saloon / sedan        ,Diesel,Manual,2004,1.7,74,275800,850
Audi 80, saloon / sedan        ,Petrol,Manual,1986,1.8,82,400000,850
Opel Astra, wagon        ,Diesel,Automatic,2000,2.0,60,238000,850
Hyundai Santa Fe, suv / off-road        ,Diesel,Automatic,2005,2.0,82,,850
Volkswagen Sharan, wagon        ,Diesel,Manual,2003,1.9,96,,850
Honda Jazz, hatchback        ,Petrol,Manual,2002,1.3,61,242000,850
Opel Astra, wagon        ,Diesel,Manual,2000,2.0,,220000,850
Volkswagen Golf Plus, hatchback        ,Diesel,Manual,2006,1.9,77,254852,850
Peugeot 206, coupe        ,Petrol,Manual,2003,1.6,80,240000,850
Renault Clio, coupe        ,Petrol,Manual,2001,1.6,79,209954,850
Subaru Legacy, wagon        ,Petrol,Manual,1999,2.0,,181500,850
Audi A6, saloon / sedan        ,Petrol / LPG,Automatic,1995,2.0,85,,850
Volkswagen Golf, wagon        ,Diesel,Manual,1999,1.9,81,343123,850
Volvo S80, saloon / sedan        ,Diesel,Manual,1999,2.5,103,500000,850
Volkswagen Polo, hatchback        ,Petrol,Manual,2000,1.4,44,202000,850
Opel Zafira, mpv / minivan        ,Diesel,Manual,2001,2.0,74,332000,850
Opel Astra, wagon        ,Petrol,Manual,2001,1.6,74,,850
Mercedes-Benz C200, wagon        ,Diesel,Automatic,2002,2.2,85,440000,850
Citroen C4, coupe        ,Diesel,Manual,2005,1.6,66,230000,850
Audi A4, wagon        ,Diesel,Manual,1998,1.9,81,350000,850
Opel Astra, wagon        ,Petrol,Manual,2001,1.6,74,,850
Audi A6, saloon / sedan        ,Petrol / LPG,Automatic,1995,2.0,85,,850
Opel Astra, wagon        ,Diesel,Manual,2002,2.0,74,382000,850
Opel Zafira, mpv / minivan        ,Diesel,Manual,2001,2.0,74,332000,850
Audi A3, hatchback        ,Petrol / LPG,Automatic,1997,1.8,92,,850
Citroen Xsara Picasso, mpv / minivan        ,Diesel,Manual,2004,1.6,80,266000,850
Briliance BS6, saloon / sedan        ,Petrol,Manual,2009,2.0,90,163000,850
Volkswagen Sharan, mpv / minivan        ,Diesel,Manual,2002,1.9,85,300000,850
Volkswagen Polo, hatchback        ,Petrol,Automatic,1996,1.6,55,200000,870
Audi 100, saloon / sedan        ,Petrol / LPG,Manual,1986,1.8,65,355000,870
Audi A6, saloon / sedan        ,Diesel,Manual,2003,2.5,120,280000,870
Nissan Primera, saloon / sedan        ,Diesel,Manual,2002,2.2,93,221500,875
Citroen C2, hatchback        ,Diesel,Manual,2006,1.4,50,260000,875
Volkswagen Sharan, mpv / minivan        ,Diesel,Manual,2001,1.9,85,320000,880
Opel Astra, hatchback        ,Diesel,Manual,2006,0.2,,,880
GAZ 21, saloon / sedan        ,Petrol,Manual,1969,saloon,,,888
Opel Astra, wagon        ,Diesel,Manual,2003,2.2,92,247359,888
Toyota Yaris Verso, hatchback        ,Petrol,Manual,2001,1.3,63,280971,890
Kia Picanto, hatchback        ,Petrol / LPG,Manual,2005,1.1,,127000,890
Fiat Stilo, wagon        ,Diesel,Manual,2002,1.9,85,350000,890
Citroen C4, hatchback        ,Petrol,Manual,2006,1.4,65,181110,890
Mazda 323F, hatchback        ,Diesel,Manual,2004,2.0,74,210000,890
Opel Zafira, mpv / minivan        ,Diesel,Manual,2003,2.2,92,281383,890
Volkswagen Golf, hatchback        ,Diesel,Manual,1999,1.9,66,320000,890
Volkswagen Passat, wagon        ,Diesel,Manual,2002,1.9,96,280000,890
Volkswagen Golf, saloon / sedan        ,Petrol,Automatic,2001,2.0,,222109,895
Chrysler Voyager, saloon / sedan        ,Diesel,Manual,1999,2.5,85,335200,899
Volkswagen Passat, saloon / sedan        ,Diesel,Automatic,2003,1.9,96,337000,899
Volkswagen Polo, hatchback        ,Petrol,Manual,2000,1.4,44,170000,899
Volkswagen Polo, hatchback        ,Petrol,Manual,2003,1.2,,198000,899
Audi A4, saloon / sedan        ,Petrol,Manual,1995,1.8,92,93000,899
Mazda 6, wagon        ,Petrol,Automatic,2006,2.3,122,253000,899
Renault Espace, mpv / minivan        ,Petrol,Automatic,2000,3.0,140,264000,899
Volkswagen Passat, wagon        ,Diesel,Automatic,2001,1.9,96,364000,899
Opel Zafira, mpv / minivan        ,Diesel,Manual,2001,2.0,74,290000,899
BMW 316, hatchback        ,Petrol,Manual,1997,1.6,,270000,899
Volkswagen Passat, saloon / sedan        ,Petrol,Manual,2001,1.8,110,269000,899
Ford Galaxy, mpv / minivan        ,Petrol,Manual,2000,2.3,107,346000,899
Citroen Berlingo, commercial        ,Petrol,Manual,2004,1.4,55,136000,899
Ford Mondeo, wagon        ,Diesel,Automatic,2003,2.0,96,260000,899
Opel Zafira, mpv / minivan        ,Petrol,Manual,2001,1.6,74,210000,899
Hyundai Getz, hatchback        ,Petrol / LPG,Manual,2008,1.1,49,220000,899
Saab 9-3, saloon / sedan        ,Diesel,Manual,2003,2.2,92,,899
Audi A4, wagon        ,Diesel,Automatic,2004,2.5,120,270000,899
Opel Zafira, mpv / minivan        ,Diesel,Manual,2003,2.2,92,200000,899
Mercedes-Benz C220, wagon        ,Diesel,Manual,2001,2.2,,239000,899
Toyota Corolla, hatchback        ,Petrol,Manual,2001,1.4,71,200000,899
Opel Vectra, hatchback        ,Diesel,Manual,2003,2.2,,,900
BMW 530, saloon / sedan        ,Diesel,Automatic,1999,3.0,,250000,900
Volkswagen Golf, hatchback        ,Petrol,Manual,1999,1.6,74,,900
Volkswagen Polo, hatchback        ,Diesel,Manual,1997,1.9,,130000,900
Hyundai Getz, hatchback        ,Diesel,Manual,2004,1.5,60,176000,900
Fiat Ducato, passenger vans        ,Diesel,Manual,2004,2.3,,,900
Peugeot 607, saloon / sedan        ,Diesel,Automatic,2002,2.2,98,318000,900
Renault Espace, mpv / minivan        ,Diesel,Manual,2002,2.2,96,312000,900
Opel Astra, hatchback        ,Diesel,Automatic,2000,2.0,60,255000,900
Honda Civic, hatchback        ,Petrol,Manual,2007,1.8,,,900
Renault Espace, mpv / minivan        ,Diesel,Manual,2004,2.2,110,290463,900
Nissan Almera Tino, mpv / minivan        ,Diesel,Manual,2004,2.2,82,271000,900
Audi A4, wagon        ,Petrol / LPG,Automatic,1997,2.8,142,334687,900
Mazda 6, hatchback        ,Diesel,Manual,2004,2.0,100,253027,900
Ford Fusion, hatchback        ,Diesel,Manual,2003,1.4,50,263000,900
Volvo S70, saloon / sedan        ,Petrol,Manual,1997,2.0,132,,900
Audi A6, saloon / sedan        ,Petrol,Manual,1997,1.8,110,340000,900
Volkswagen Golf, wagon        ,Diesel,Manual,2000,1.9,66,330000,900
Renault Scenic, mpv / minivan        ,Diesel,Manual,2004,1.9,88,250000,900
Skoda Octavia, wagon        ,Diesel,Manual,2000,1.9,81,,900
Audi A6, wagon        ,Diesel,Manual,2000,2.5,110,,900
Opel Zafira, mpv / minivan        ,Diesel,Manual,2005,2.2,92,250000,900
Peugeot 607, saloon / sedan        ,Diesel,Manual,2002,2.2,98,315000,900
Audi 100, saloon / sedan        ,Petrol / LPG,Manual,1988,2.2,101,200000,900
Citroen C5, saloon / sedan        ,Diesel,Manual,2001,2.2,100,318000,900
Saab 9-3, wagon        ,Diesel,Manual,2005,1.9,110,346000,900
Seat Cordoba, saloon / sedan        ,Petrol,Manual,2007,1.4,63,224400,900
Toyota Yaris, hatchback        ,Diesel,Manual,2002,1.4,55,216000,900
Volkswagen Passat, saloon / sedan        ,Diesel,Automatic,1998,1.9,81,303239,900
Audi A6, wagon        ,Diesel,Manual,2000,1.9,81,410569,900
Audi A6, wagon        ,Diesel,Manual,1995,2.5,85,450000,900
Audi A3, hatchback        ,Diesel,Manual,1997,1.9,81,350626,900
Volvo S80, saloon / sedan        ,Petrol,Manual,2002,2.4,125,206000,900
Volkswagen Passat, saloon / sedan        ,Diesel,Manual,1997,1.9,81,284000,900
Opel Astra, hatchback        ,Diesel,Manual,2003,2.2,92,172520,900
Citroen C5, saloon / sedan        ,Diesel,Manual,2001,2.2,100,318000,900
Audi A6, wagon        ,Diesel,Manual,1995,2.5,85,450000,900
Audi A6, saloon / sedan        ,Diesel,Manual,2001,2.5,110,275529,900
Ford Focus, hatchback        ,Diesel,Manual,2006,1.8,85,263000,900
Audi 80, saloon / sedan        ,Petrol / LPG,Manual,1992,2.0,66,348852,900
Vauxhall Astra, wagon        ,Petrol,Manual,2008,1.4,66,,900
Audi A3, hatchback        ,Diesel,Manual,1997,1.9,81,350626,900
Mitsubishi Carisma, hatchback        ,Petrol,Manual,1997,1.6,66,,900
Volvo 850, wagon        ,Diesel,Manual,1996,2.5,103,,900
Renault Scenic, mpv / minivan        ,Diesel,Automatic,2000,1.9,72,220000,900
Mercedes-Benz 220, saloon / sedan        ,Diesel,Manual,1997,2.2,70,245000,900
Mazda 6, saloon / sedan        ,Diesel,Manual,2004,2.0,100,253128,900
Lada 2110, saloon / sedan        ,Petrol,Manual,1976,1.3,50,,900
Audi A6, wagon        ,Diesel,Manual,1996,2.5,103,415000,900
Chevrolet Matiz, hatchback        ,Petrol,Manual,2010,1.0,,100000,900
Ford Galaxy, mpv / minivan        ,Diesel,Manual,2000,1.9,66,400000,900
Peugeot 607, saloon / sedan        ,Diesel,Automatic,2002,2.2,98,,900
Opel Zafira, mpv / minivan        ,Diesel,Manual,2003,2.2,92,280000,900
Volkswagen Santana, saloon / sedan        ,Petrol,Manual,1983,1.6,,,900
Toyota Yaris Verso, mpv / minivan        ,Diesel,Manual,2002,1.4,,,900
Volkswagen Golf, hatchback        ,Diesel,Manual,2000,1.9,66,,900
Opel Zafira, mpv / minivan        ,Diesel,Manual,2003,2.2,,300000,900
Toyota Previa, mpv / minivan        ,Diesel,Manual,2001,2.0,85,359117,900
Mazda 6, saloon / sedan        ,Diesel,Manual,2004,2.0,100,253128,900
Volvo 850, wagon        ,Diesel,Manual,1996,2.5,103,,900
Lada 2110, saloon / sedan        ,Petrol,Manual,1976,1.3,50,,900
Audi A6, wagon        ,Diesel,Manual,1996,2.5,103,415000,900
Chevrolet Matiz, hatchback        ,Petrol,Manual,2010,1.0,,100000,900
Ford Galaxy, mpv / minivan        ,Diesel,Manual,2000,1.9,66,400000,900
Renault Scenic, mpv / minivan        ,Diesel,Automatic,2000,1.9,72,220000,900
Peugeot 607, saloon / sedan        ,Diesel,Automatic,2002,2.2,98,,900
Buick Regal, saloon / sedan        ,Petrol,Automatic,2002,3.8,149,186000,900
Audi A3, hatchback        ,Petrol / LPG,Manual,1998,1.8,92,334000,900
Saab 9-5, wagon        ,Petrol / LPG,Automatic,1999,2.3,125,252000,900
Mercedes-Benz E280, wagon        ,Petrol,Automatic,1996,2.8,150,,900
Skoda Fabia, hatchback        ,Diesel,Manual,2000,1.9,47,322299,900
Ford Galaxy, mpv / minivan        ,Diesel,Manual,2002,1.9,85,380000,900
Volkswagen Passat, wagon        ,Petrol / LPG,Manual,1995,1.8,66,150000,900
Opel Zafira, mpv / minivan        ,Diesel,Manual,2004,2.0,74,332000,900
Ford C-MAX, hatchback        ,Diesel,Manual,2005,hatchback,80,235000,900
Honda HR-V, suv / off-road        ,Petrol,Manual,2002,1.6,77,,900
Mazda 6, wagon        ,Diesel,Manual,2004,2.0,89,337850,900
Skoda Fabia, wagon        ,Petrol,Manual,2006,1.2,47,,900
Opel Astra, wagon        ,Diesel,Manual,2005,1.7,59,400000,900
Volkswagen Touran, mpv / minivan        ,Petrol,Automatic,2005,1.6,85,,900
SsangYong Musso, suv / off-road        ,Diesel,Automatic,1996,2.9,73,229000,900
Audi A3, hatchback        ,Diesel,Manual,1998,1.9,66,408308,900
Nissan Primera, wagon        ,Petrol,Manual,2005,1.6,80,300000,900
Opel Corsa, hatchback        ,Diesel,Manual,2002,1.7,55,228500,900
Peugeot Partner, mpv / minivan        ,Diesel,Manual,2005,1.9,47,145200,900
Volkswagen Passat, wagon        ,Diesel,Manual,1999,1.9,85,453379,900
Toyota Corolla Verso, mpv / minivan        ,Diesel,Manual,2002,2.0,66,289000,900
Volkswagen Passat, wagon        ,Petrol,Manual,1997,1.9,110,300000,900
Subaru Legacy, wagon        ,Diesel,Manual,2009,2.0,,,900
Peugeot 307, hatchback        ,Diesel,Manual,2003,2.0,79,234800,910
Skoda Superb, saloon / sedan        ,Diesel,Manual,2005,1.9,96,,910
Mitsubishi Space Star, mpv / minivan        ,Petrol,Manual,2005,1.6,72,218240,920
Volvo S70, saloon / sedan        ,Diesel,Manual,1998,2.5,103,,920
Peugeot 307, wagon        ,Diesel,Manual,2004,2.0,100,250000,920
Volkswagen Golf, hatchback        ,Diesel,Manual,2015,2.0,110,,920
Mazda 626, wagon        ,Diesel,Manual,2002,2.0,81,140000,925
Opel Zafira, mpv / minivan        ,Diesel,Manual,2003,2.2,92,294000,930
Audi A4, saloon / sedan        ,Diesel,Manual,2003,1.9,96,364842,930
Nissan Primera, saloon / sedan        ,Diesel,Manual,2002,2.2,93,222000,935
Mitsubishi Space Star, hatchback        ,Diesel,Manual,2002,1.9,75,198000,939
Volkswagen Golf, wagon        ,Diesel,Manual,2005,1.9,74,231000,940
BMW 320, saloon / sedan        ,Diesel,Manual,2000,2.0,100,320000,940
Renault Scenic, hatchback        ,Diesel,Manual,2005,1.5,78,135000,948
Opel Vectra, wagon        ,Diesel,Manual,2004,2.0,74,302000,949
Nissan Primera, saloon / sedan        ,Petrol / LPG,Manual,2004,1.6,,320000,950
Audi A6, saloon / sedan        ,Diesel,Automatic,2001,2.5,132,,950
Volkswagen Fox, hatchback        ,Petrol,Manual,2005,1.2,46,175000,950
Opel Meriva, mpv / minivan        ,Petrol,Manual,2005,1.6,74,189453,950
Honda Civic, hatchback        ,Petrol,Automatic,1997,1.4,66,124460,950
Peugeot 206, wagon        ,Petrol,Manual,2004,1.4,55,231223,950
Seat Ibiza, hatchback        ,Petrol,Manual,2003,1.4,55,,950
Skoda Superb, saloon / sedan        ,Diesel,Manual,2004,1.9,74,,950
Land Rover Defender, suv / off-road        ,Diesel,Automatic,1995,2.5,83,,950
